DRXFDCD,foodcode,food_description
58106411,58106620,"Pizza with meat other than pepperoni, from restaurant or fast food, thin crust"
58106910,58106620,"Pizza with meat other than pepperoni, from restaurant or fast food, thin crust"
58106412,58106625,"Pizza with meat other than pepperoni, from restaurant or fast food, regular crust"
58106915,58106625,"Pizza with meat other than pepperoni, from restaurant or fast food, regular crust"
58106413,58106505,"Pizza with meat, prepared from frozen, thick crust"
58106920,58106505,"Pizza with meat, prepared from frozen, thick crust"
58106413,58106630,"Pizza with meat other than pepperoni, from restaurant or fast food, thick crust"
58106920,58106630,"Pizza with meat other than pepperoni, from restaurant or fast food, thick crust"
58106413,58106636,"Pizza, with meat other than pepperoni, from school lunch, thick crust"
58106920,58106636,"Pizza, with meat other than pepperoni, from school lunch, thick crust"
58106441,58106700,"Pizza with meat and vegetables, prepared from frozen, thin crust"
58106442,58106700,"Pizza with meat and vegetables, prepared from frozen, thin crust"
58106441,58106720,"Pizza with meat and vegetables, thin crust"
58106442,58106725,"Pizza with meat and vegetables, regular crust"
58106443,58106705,"Pizza with meat and vegetables, prepared from frozen, thick crust"
58106443,58106730,"Pizza with meat and vegetables, thick crust"
58145114,58145112,"Macaroni or noodles with cheese, made from packaged mix"
58145114,58145117,"Macaroni or noodles with cheese, Easy Mac type"
58145130,58145135,Macaroni or noodles with cheese and meat
58145130,58145136,"Macaroni or noodles with cheese and meat, prepared from Hamburger Helper mix"
58160200,58160550,"Rice, white, with dark green vegetables, NS as to fat added in cooking"
58160200,58160610,"Rice, white, with dark green vegetables and tomatoes (and/or tomato-based sauce), NS as to fat added in cooking"
58160220,58160610,"Rice, white, with dark green vegetables and tomatoes (and/or tomato-based sauce), NS as to fat added in cooking"
58160200,58160640,"Rice, white, with carrots and dark green vegetables, NS as to fat added in cooking"
58160200,58160670,"Rice, white, with carrots, dark green vegetables, and tomatoes (and/or tomato-based sauce), NS as to fat added in cooking"
58160220,58160670,"Rice, white, with carrots, dark green vegetables, and tomatoes (and/or tomato-based sauce), NS as to fat added in cooking"
58160202,58160560,"Rice, white, with dark green vegetables, fat not added in cooking"
58160202,58160620,"Rice, white, with dark green vegetables and tomatoes (and/or tomato-based sauce), fat not added in cooking"
58160220,58160620,"Rice, white, with dark green vegetables and tomatoes (and/or tomato-based sauce), fat not added in cooking"
58160202,58160650,"Rice, white, with carrots and dark green vegetables, fat not added in cooking"
58160202,58160680,"Rice, white, with carrots, dark green vegetables, and tomatoes (and/or tomato-based sauce), fat not added in cooking"
58160220,58160680,"Rice, white, with carrots, dark green vegetables, and tomatoes (and/or tomato-based sauce), fat not added in cooking"
58160204,58160570,"Rice, white, with dark green vegetables, fat added in cooking"
58160204,58160630,"Rice, white, with dark green vegetables and tomatoes (and/or tomato-based sauce), fat added in cooking"
58160220,58160630,"Rice, white, with dark green vegetables and tomatoes (and/or tomato-based sauce), fat added in cooking"
58160204,58160660,"Rice, white, with carrots and dark green vegetables, fat added in cooking"
58160204,58160690,"Rice, white, with carrots, dark green vegetables, and tomatoes (and/or tomato-based sauce), fat added in cooking"
58160220,58160690,"Rice, white, with carrots, dark green vegetables, and tomatoes (and/or tomato-based sauce), fat added in cooking"
