Main.food.description,Ingredient code
"Soup, vegetarian vegetable, canned, condensed",6068
"Soup, chunky beef, canned, ready-to-serve",6070
"Soup, vegetable beef, canned, condensed",6071
"Soup, vegetable with beef broth, canned, condensed",6072
"Soup, beef broth or bouillon, powder, dry",6075
"Soup, cream of vegetable, dry, powder",6101
"Sauce, teriyaki, ready-to-serve",6112
"Gravy, beef, canned, ready-to-serve",6116
"Gravy, chicken, canned or bottled, ready-to-serve",6119
"Gravy, mushroom, dry, powder",6122
"Gravy, turkey, canned, ready-to-serve",6125
"Soup, chicken noodle, dry, mix",6128
"Soup, chicken mushroom, canned, condensed",6149
"Sauce, barbecue",6150
"Soup, tomato, canned, condensed",6159
"Sauce, salsa, ready-to-serve",6164
"Sauce, homemade, white, medium",6166
"Sauce, homemade, white, thick",6167
"Sauce, ready-to-serve, pepper, TABASCO",6169
"Soup, stock, beef, home-prepared",6170
"Soup, stock, chicken, home-prepared",6172
"Soup, stock, fish, home-prepared",6174
"Sauce, hoisin, ready-to-serve",6175
"Sauce, oyster, ready-to-serve",6176
"Soup, minestrone, canned, reduced sodium, ready-to-serve",6177
"Sauce, fish, ready-to-serve",6179
"Soup, cream of mushroom, canned, condensed, reduced sodium",6182
"Soup, chicken broth, less/reduced sodium, ready to serve",6183
"Sauce, teriyaki, ready-to-serve, reduced sodium",6189
"Soup, bean & ham, canned, reduced sodium, prepared with water or ready-to-serve",6190
"Split pea soup, canned, reduced sodium, prepared with water or ready-to serve",6192
"Split pea with ham soup, canned, reduced sodium, prepared with water or ready-to-serve",6193
"Soup, chicken broth, ready-to-serve",6194
"Soup, chicken vegetable with potato and cheese, chunky, ready-to-serve",6208
"Soup, clam chowder, new england, canned, prepared with equal volume low fat (2%) milk",6230
"Soup, cream of shrimp, canned, prepared with equal volume low fat (2%) milk",6256
"Soup, black bean, canned, prepared with equal volume water",6402
"Soup, chicken broth, canned, prepared with equal volume water",6413
"Soup, chicken gumbo, canned, prepared with equal volume water",6417
"Soup, clam chowder, new england, canned, prepared with equal volume water",6430
"Soup, cream of mushroom, canned, prepared with equal volume water",6443
"Soup, pea, green, canned, prepared with equal volume water",6449
"Soup, cream of shrimp, canned, prepared with equal volume water",6456
"Soup, tomato beef with noodle, canned, prepared with equal volume water",6461
"Soup, tomato rice, canned, prepared with equal volume water",6463
"Soup, vegetarian vegetable, canned, prepared with equal volume water",6468
"Soup, vegetable with beef broth, canned, prepared with equal volume water",6472
"Soup, beef broth or bouillon, powder, prepared with water",6475
"Soup, chicken broth or bouillon, dry, prepared with water",6480
"Soup, cream of chicken, dry, mix, prepared with water",6483
"Soup, onion, dry, mix, prepared with water",6494
"Soup, tomato, dry, mix, prepared with water",6498
"Soup, tomato, canned, prepared with equal volume water, commercial",6559
"Soup, ramen noodle, any flavor, dry",6583
"Soup, broccoli cheese, canned, condensed, commercial",6584
"Soup, vegetable broth, ready to serve",6700
"Soup, beef and vegetables, canned, ready-to-serve",6749
"Sauce, pasta, spaghetti/marinara, ready-to-serve",6931
"Soup, cream of chicken, canned, condensed, reduced sodium",6955
"Soup, tomato, canned, condensed, reduced sodium",6956
Fish broth,6963
"Soup, chicken broth, low sodium, canned",6970
"Sauce, worcestershire",6971
"Sauce, tomato chili sauce, bottled, with salt",6972
"Sauce, pasta, spaghetti/marinara, ready-to-serve, low sodium",6976
"Gravy, meat or poultry, low sodium, prepared",6977
"Soup, beef stroganoff, canned, chunky style, ready-to-serve",6980
"Soup, bouillon cubes and granules, low sodium, dry",6981
Blood sausage,7005
"Bologna, beef",7007
"Bratwurst, pork, cooked",7013
"Headcheese, pork",7034
"Knackwurst, knockwurst, pork, beef",7038
"Mortadella, beef, pork",7050
"Pepperoni, beef and pork, sliced",7057
"Pickle and pimiento loaf, pork",7058
Poultry salad sandwich spread,7067
"Salami, cooked, turkey",7070
"Salami, dry or hard, pork, beef",7072
"Sandwich spread, pork, beef",7073
"Thuringer, cervelat, summer sausage, beef, pork",7078
"Sausage, Vienna, canned, chicken, beef, pork",7083
"Frankfurter, beef, pork, and turkey, fat free",7905
"Luncheon meat, pork, ham, and chicken, minced, canned, reduced sodium, added ascorbic acid, includes SPAM, 25% less sodium",7906
"Luncheon meat, pork with ham, minced, canned, includes SPAM (Hormel)",7908
"Scrapple, pork",7951
"Frankfurter, meat and poultry, unheated",7962
"Bologna, meat and poultry",7971
"Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN Original",8001
"Cereals ready-to-eat, POST, ALPHA-BITS",8002
"Cereals ready-to-eat, KELLOGG, KELLOGG'S APPLE JACKS",8003
"Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN BRAN BUDS",8005
"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH",8010
